Age,Sex,Pclass,Fare,FamilySize,Survived
44.0,1,2,26.0,1,0
18.0,1,3,9.35,1,1
45.0,1,1,164.8667,2,1
51.0,0,1,26.55,0,1
24.0,1,3,19.2583,3,1
28.0,0,3,7.2292,0,0
41.0,0,3,14.1083,2,0
21.0,0,2,11.5,1,0
48.0,1,1,25.9292,0,1
28.0,1,3,69.55,10,0
24.0,0,2,13.0,0,0
42.0,1,2,13.0,0,1
27.0,1,2,13.8583,1,1
31.0,0,1,50.4958,0,0
28.0,0,3,9.5,0,0
4.0,0,3,11.1333,2,1
26.0,0,3,7.8958,0,0
47.0,1,1,52.5542,2,1
33.0,0,1,5.0,0,0
47.0,0,3,9.0,0,0
28.0,1,2,24.0,1,1
15.0,1,3,7.225,0,1
20.0,0,3,9.8458,0,0
19.0,0,3,7.8958,0,0
28.0,0,3,7.8958,0,0
56.0,1,1,83.1583,1,1
25.0,1,2,26.0,1,1
33.0,0,3,7.8958,0,0
22.0,1,3,10.5167,0,0
28.0,0,2,10.5,0,0
25.0,0,3,7.05,0,0
39.0,1,3,29.125,5,0
27.0,0,2,13.0,0,0
19.0,1,1,30.0,0,1
28.0,1,3,23.45,3,0
26.0,0,1,30.0,0,1
32.0,0,3,7.75,0,0
